"Bid curve chart data (Volume for net flows)","184.3","Bid curve chart data (Volume for net flows)","867.8","Bid curve chart data (Volume for net flows)","1663.8","Bid curve chart data (Volume for net flows)","1796.8","Bid curve chart data (Volume for net flows)","2300.7","Bid curve chart data (Volume for net flows)","1114.4","Bid curve chart data (Volume for net flows)","-2314.5","Bid curve chart data (Volume for net flows)","-3052.3","Bid curve chart data (Volume for net flows)","-3188.9","Bid curve chart data (Volume for net flows)","-3250.3","Bid curve chart data (Volume for net flows)","-3347.2","Bid curve chart data (Volume for net flows)","-3443.7","Bid curve chart data (Volume for net flows)","-3595.4","Bid curve chart data (Volume for net flows)","-3583.2","Bid curve chart data (Volume for net flows)","-3561.1","Bid curve chart data (Volume for net flows)","-3457","Bid curve chart data (Volume for net flows)","-3408.2","Bid curve chart data (Volume for net flows)","-3174.5","Bid curve chart data (Volume for net flows)","-3345.4","Bid curve chart data (Volume for net flows)","-3334.3","Bid curve chart data (Volume for net flows)","-3208.3","Bid curve chart data (Volume for net flows)","-2699.9","Bid curve chart data (Volume for net flows)","-1542.6","Bid curve chart data (Volume for net flows)","126.2"
"Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)","","Bid curve chart data (Bid curve chart data calculation)",""
"Volume value","42859.697211","Volume value","41871.658332","Volume value","41533.325971","Volume value","41785.116308","Volume value","42540.203501","Volume value","44856.699675","Volume value","49928.077854","Volume value","54877.177854","Volume value","55410.077854","Volume value","54882.377854","Volume value","54632.277854","Volume value","53947.364920","Volume value","53197.164920","Volume value","52852.183788","Volume value","52929.177854","Volume value","53057.377854","Volume value","53533.177854","Volume value","55184.977854","Volume value","54686.577854","Volume value","53589.577854","Volume value","51476.790324","Volume value","49768.590324","Volume value","47092.079140","Volume value","44081.182161"
"Price value","-127.500000","Price value","-127.500000","Price value","-107.500000","Price value","-107.500000","Price value","-107.500000","Price value","-117.777778","Price value","-152.335972","Price value","-121.922692","Price value","-109.153758","Price value","-104.974834","Price value","-106.367809","Price value","-105.671321","Price value","-111.707545","Price value","-108.225108","Price value","-101.724560","Price value","-103.349697","Price value","-107.992946","Price value","-115.654306","Price value","-124.012154","Price value","-124.012154","Price value","-127.958916","Price value","-135.852439","Price value","-147.692723","Price value","-95.555556"
"Volume value","42782.845388","Volume value","41786.645388","Volume value","41415.730425","Volume value","41668.230425","Volume value","42427.930425","Volume value","44759.110337","Volume value","49867.184140","Volume value","54759.884072","Volume value","55269.104653","Volume value","54733.655026","Volume value","54486.138235","Volume value","53802.918274","Volume value","53063.881999","Volume value","52712.082514","Volume value","52774.427537","Volume value","52905.641282","Volume value","53390.051979","Volume value","55056.059630","Volume value","54573.158886","Volume value","53476.158886","Volume value","51364.177978","Volume value","49670.616164","Volume value","47015.411090","Volume value","43960.415934"
"Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-117.777778","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-95.555556","Price value","-35.369017"
"Volume value","42692.488097","Volume value","41696.288097","Volume value","41344.988097","Volume value","41597.488097","Volume value","42357.188097","Volume value","44678.288097","Volume value","49817.982864","Volume value","54722.344588","Volume value","55249.744588","Volume value","54720.244588","Volume value","54470.744588","Volume value","53788.566810","Volume value","53040.966810","Volume value","52694.044588","Volume value","52765.644588","Volume value","52894.544588","Volume value","53372.344588","Volume value","55027.444588","Volume value","54532.644588","Volume value","53435.644588","Volume value","51318.044588","Volume value","49613.244588","Volume value","46940.815934","Volume value","43901.388097"
"Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.369017","Price value","-35.251120"
"Volume value","42682.372470","Volume value","41686.172470","Volume value","41334.872470","Volume value","41587.372470","Volume value","42347.072470","Volume value","44668.172470","Volume value","49737.739605","Volume value","54663.739605","Volume value","55191.139605","Volume value","54661.639605","Volume value","54412.139605","Volume value","53730.262760","Volume value","52982.662760","Volume value","52635.439605","Volume value","52707.039605","Volume value","52835.939605","Volume value","53313.739605","Volume value","54968.839605","Volume value","54474.039605","Volume value","53377.039605","Volume value","51259.439605","Volume value","49554.639605","Volume value","46881.788097","Volume value","43891.272470"
"Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-35.251120","Price value","-28.413110"
"Volume value","42675.666105","Volume value","41679.466105","Volume value","41328.166105","Volume value","41580.666105","Volume value","42340.366105","Volume value","44661.466105","Volume value","49727.624806","Volume value","54653.624806","Volume value","55181.024806","Volume value","54651.524806","Volume value","54402.024806","Volume value","53720.148551","Volume value","52972.548551","Volume value","52625.324806","Volume value","52696.924806","Volume value","52825.824806","Volume value","53303.624806","Volume value","54958.724806","Volume value","54463.924806","Volume value","53366.924806","Volume value","51249.324806","Volume value","49544.524806","Volume value","46871.672470","Volume value","43884.566105"
"Price value","-28.373811","Price value","-28.386315","Price value","-28.387480","Price value","-28.385039","Price value","-28.382085","Price value","-28.380361","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.413110","Price value","-28.410919"
